"id","name","mets","classify"
1,泡澡，静坐,1.0,日常活动
2,温和的伸展运动,2.5,拉伸
3,伸展运动，哈达瑜伽,2.5,瑜伽
4,动感单车较低强度,3.0,有氧（自行车）
5,举重，中等强度,8.0,力量训练（器械）
6,在家做健美操，中低强度,3.5,有氧操
7,划船机，50瓦特，低强度,3.5,有氧（器械）
8,水中有氧运动，水中健美操,4.0,有氧操
9,动感单车低强度,5.5,有氧（自行车）
10,健身俱乐部活动,5.5,跑步
11,减肥操，爵士健身操,6.0,有氧操
12,教授有氧运动课程,6.0,有氧
13,举重，塑形运动，高强度,12.0,力量训练（器械）
14,动感单车中强度,7.0,""
15,单车训练,7.0,有氧（自行车）
16,划船器，测力计,7.0,有氧（器械）
17,划船器，100瓦特，中等强度,8.5,有氧（器械）
18,滑雪器，一般,7.0,有氧（器械）
19,柔软体操，高强度,8.0,体操
20,划船机，150瓦特，高等强度,8.5,有氧（器械）
21,踏板机,6.5,有氧（器械）
22,动感单车高强度,10.5,有氧（器械）
23,划船器，200瓦特，非常高强度,12.0,有氧（器械）
24,单车训练，250瓦特，非常高强度,12.5,有氧（自行车）
25,办公室工作(坐着)，阅读或开车,1.5,日常活动
26,开会（坐着），发言,1.5,日常活动
27,打字,1.5,日常活动
28,裁缝，手工缝制衣服,2.0,家务
29,走路，在办公区域，速度小于3.2公里/小时,2.0,走路
30,装订书本,2.3,日常活动
31,印刷（站着）,2.3,日常活动
32,说话，整理文件和复印（站着）,2.3,日常活动
33,烤点心（轻度劳动）,2.5,家务
34,整理床铺，护理病人或老人,2.5,家务
35,清理水池和厕所（轻度劳动）,2.5,家务
36,拂尘（轻度劳动）,2.5,家务
37,用吸尘器打扫（轻度劳动）,2.5,家务
38,开叉车（坐着），教授瑜伽课程,2.5,工作
39,用吸尘器打扫房间，中等强度,3.0,家务
40,走路，在工作场所，速度4.8公里/小时，中速,3.3,走路
41,拖地，中等强度,3.5,家务
42,清洁工作，中等强度,3.5,家务
43,走路，在工作场所，轻快的，速度5.6公里/小时,3.8,走路
44,给人按摩（站着）,4.0,日常活动
45,裁缝活，熨烫衣服,4.0,家务
46,教授体育课（自己不参加体育比赛）,4.0,工作
47,推着轮椅走,4.0,走路
48,走路，速度4.8公里/小时，提着25磅的东西,4.0,走路
49,教体育课（活跃状态）,6.5,跑步
50,和小孩一起斜靠着休息,1.5,日常活动
51,编织，缝补衣物，包装礼物（坐着）,1.5,家务
52,烹调/准备食物（站着或坐着）,2.0,家务
53,洗衣服，叠衣服，晾衣服（站着）,2.0,家务
54,整理床铺,2.0,家务
55,换灯泡，打气（站着）,2.0,家务
56,采购食物,2.3,家务
57,收拾衣服，洗衣服（走动着）,2.3,家务
58,烫衣服,2.3,家务
59,洗碗（站着）,2.3,家务
60,照顾小孩：坐着或跪着给小孩穿衣服，喂奶,2.5,家务
61,清洁（轻度劳动）：拂尘，丢垃圾,2.5,家务
62,烹调/准备食物（走动着）,2.5,家务
63,喂养宠物,2.5,家务
64,大扫除（轻度劳动）,2.5,家务
65,提行李，收拾行李,2.5,日常活动
66,做饭，摆饭桌（站着或走动着）,2.5,家务
67,与孩子、宠物玩耍（坐着）,2.5,休闲娱乐
68,洗碗，走动着清理餐桌,2.5,家务
69,给植物浇水,2.5,园艺活动
70,与孩子、宠物玩耍（站着，走着，跑着）,2.8,休闲娱乐
71,抱小孩,3.0,日常活动
72,照顾小孩：站着给小孩穿衣服，洗澡，喂奶,3.0,家务
73,打扫，高强度（如洗车，擦玻璃）,3.0,家务
74,打扫房间,3.0,家务
75,收拾东西,3.0,家务
76,清洁地毯，清洁地板,3.3,家务
77,拖地,3.5,家务
78,家务劳动，中等强度,3.5,家务
79,给狗洗澡（站着）,3.5,家务
80,收拾行李（站着），中等强度,3.5,日常活动
81,用吸尘器打扫房间,3.5,家务
82,擦地板（跪在地上擦），清洁浴室,3.8,家务
83,照顾老人，残疾人,4.0,家务
84,家务劳动，高强度,4.0,家务
85,打扫车库，人行道或室外其他地方,4.0,家务
86,跟动物玩耍（走着/跑着），中等强度,4.0,休闲娱乐
87,跟孩子玩耍（走着/跑着），中等强度,4.0,休闲娱乐
88,跟孩子或宠物玩耍（走着/跑着），高强度,5.0,休闲娱乐
89,搬家居，搬箱子,6.0,日常活动（负重）
90,提着东西上楼梯,7.5,日常活动（负重）
91,搬家具上楼，搬箱子,9.0,日常活动（负重）
92,走跑结合（跑步时间少于10分钟）,6.0,走跑
93,慢跑（约7km/h）,7.0,跑步
94,跑步，8公里/小时,8.6,""
95,跑步，训练，推轮椅,8.0,跑步
96,跑步，8.4公里/小时,9.0,跑步
97,跑步，越野跑,9.0,跑步
98,跑步，9.7公里/小时,10.0,跑步
99,跑步，在小路上，小组跑,10.0,跑步
100,跑步，10.8公里/小时,11.0,跑步
101,跑步，11.3公里/小时,11.5,跑步
102,跑步，12.1公里/小时,12.5,跑步
103,跑步，12.9公里/小时,13.5,跑步
104,跑步，13.8公里/小时,14.0,跑步
105,跑步，14.5公里/小时,15.0,跑步
106,跑步，上楼梯,15.0,跑步
107,跑步，16公里/小时,16.0,跑步
108,跑步，17.5公里/小时,18.0,跑步
109,修汽车,3.0,体力活
110,木工活,3.0,体力活
111,安装电线，安装管道,3.0,体力活
112,修理或加工车身,4.0,体力活
113,木匠活，修缮储物间或家具,4.5,体力活
114,铺地毯或收起地毯,4.5,体力活
115,铺砖或油毯，修理装置,4.5,体力活
116,粉刷,4.5,体力活
117,清洁篱笆，修篱笆,4.5,体力活
118,清理排水沟,5.0,体力活
119,在室外粉刷,5.0,体力活
120,睡觉,1.0,日常活动
121,乘公共汽车,1.0,日常活动
122,坐汽车或卡车,1.0,日常活动
123,思考,1.0,日常活动
124,靠着阅读,1.0,日常活动
125,靠着说话，打电话,1.0,日常活动
126,写字,1.0,日常活动
127,听音乐（躺）,1.0,日常活动
128,看电视（躺）,1.0,日常活动
129,看电视（坐）,1.0,日常活动
130,抽烟，听音乐（坐）,1.0,日常活动
131,站着，安静的,1.2,日常活动
132,读书看报（坐）,1.3,日常活动
133,洗澡（坐）,1.5,日常活动
134,吃东西（坐）,1.5,日常活动
135,聚餐，家庭聚会，坐着吃东西,1.5,休闲娱乐
136,做手工艺品（轻度劳动）,1.5,休闲娱乐
137,说话，打电话（坐）,1.5,日常活动
138,看比赛（坐）,1.5,休闲娱乐
139,上课，做笔记，课堂讨论（坐）,1.8,日常活动
140,学习，看书，写字（坐）,1.8,日常活动
141,写作，文字工作，打字（坐）,1.8,日常活动
142,做手工艺品（站着，轻度劳动）,1.8,休闲娱乐
143,说话，打电话（站着）,1.8,日常活动
144,阅读（站着）,1.8,休闲娱乐
145,开汽车,2.0,日常活动
146,穿衣服，脱衣服（站或坐）,2.0,日常活动
147,梳妆打扮（站或坐）,2.0,日常活动
148,淋浴（站）,2.0,日常活动
149,铺床（站）,2.0,日常活动
150,谈话、吃东西（站）,2.0,日常活动
151,做手工艺品（中度劳动）,2.0,休闲娱乐
152,站着,2.0,日常活动
153,旅行，度假，骑马,2.0,休闲娱乐
154,驾驶摩托车,2.5,休闲娱乐
155,做头发,2.5,休闲娱乐
156,宿营，扎帐篷（站着或走动）,2.5,休闲娱乐
157,做手工艺品和艺术品，站着，中强度,3.0,休闲娱乐
158,做手工艺品和艺术品，站着，高强度,3.5,休闲娱乐
159,划船,2.5,水上运动
160,潜水，跳台跳水，跳板跳水,3.0,水上运动
161,"冲浪、冰上快艇,常规",3.0,水上运动
162,水上排球,3.0,水上运动
163,划独木舟，划船,3.5,水上运动
164,游泳，踩水,4.0,水上运动
165,水上有氧操，水上健美操,5.5,水上运动
166,划皮船,5.0,水上运动
167,航海比赛,5.0,水上运动
168,游泳，在湖、河或海里,6.0,水上运动
169,游泳，放松的,6.0,水上运动
170,划独木舟，速度7.2-9.5公里/小时，中等强度,7.0,水上运动
171,潜游，带水中呼吸器潜水,7.0,水上运动
172,仰泳,7.0,水上运动
173,慢速自由式游泳,7.0,水上运动
174,慢速狗刨游泳（50码/分钟）,8.0,水上运动
175,水中慢跑,8.0,水上运动
176,快速自由式游泳,10.0,水上运动
177,蛙泳,10.0,水上运动
178,游泳，快速踩水，高强度,10.0,水上运动
179,水球,10.0,水上运动
180,蝶泳,11.0,水上运动
181,快速狗刨游泳（75码/分钟）,11.0,水上运动
182,划独木舟，速度大于9.7公里/小时，高强度,12.0,水上运动
183,划独木舟比赛，团队比赛或双桨划水,12.0,水上运动
184,中速潜游,12.5,水上运动
185,快速潜游,16.0,水上运动
186,打台球,2.5,其他体育运动
187,掷飞镖,2.5,其他体育运动
188,足球，棒球，捉迷藏,2.5,其他体育运动
189,骑马，走路,2.5,其他体育运动
190,保龄球,3.0,球类运动
191,玩飞盘,3.0,其他体育运动
192,在练习场地打小型高尔夫,3.0,球类运动
193,排球，非比赛，6-9人打,3.0,球类运动
194,射箭（非打猎）,3.5,其他体育运动
195,高尔夫，使用电动球车,3.5,球类运动
196,乘风滑翔,3.5,其他体育运动
197,骑马，给马装马鞍，给马刷鬃毛,3.5,其他体育运动
198,跳伞,3.5,其他体育运动
199,蹦床,3.5,其他体育运动
200,做教练：橄榄球、足球、棒球、游泳等,4.0,其他体育运动
201,健美操,4.0,有氧操
202,踢沙包,4.0,其他体育运动
203,骑马,4.0,其他体育运动
204,乒乓球,4.0,""
205,太极,4.0,其他体育运动
206,田径（射击，掷铁饼，铅球）,4.0,其他体育运动
207,排球,4.0,""
208,羽毛球，单打，双打,4.5,球类运动
209,篮球，投篮,4.5,球类运动
210,高尔夫,4.5,球类运动
211,高尔夫，提着装备走路,4.5,球类运动
212,儿童游戏（跳房子，丛林游戏，抓子游戏）,5.0,休闲娱乐
